budget,genre_id,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
4000000,80,5,en,"Four Rooms",22.8762,1995-12-09,4300000,98,Released,"Four Rooms",6.5,530
4000000,35,5,en,"Four Rooms",22.8762,1995-12-09,4300000,98,Released,"Four Rooms",6.5,530
11000000,12,11,en,"Star Wars",126.394,1977-05-25,775398000,121,Released,"Star Wars",8.1,6624
11000000,28,11,en,"Star Wars",126.394,1977-05-25,775398000,121,Released,"Star Wars",8.1,6624
11000000,878,11,en,"Star Wars",126.394,1977-05-25,775398000,121,Released,"Star Wars",8.1,6624
94000000,16,12,en,"Finding Nemo",85.6888,2003-05-30,940336000,100,Released,"Finding Nemo",7.6,6122
94000000,10751,12,en,"Finding Nemo",85.6888,2003-05-30,940336000,100,Released,"Finding Nemo",7.6,6122
55000000,35,13,en,"Forrest Gump",138.133,1994-07-06,677945000,142,Released,"Forrest Gump",8.2,7927
55000000,18,13,en,"Forrest Gump",138.133,1994-07-06,677945000,142,Released,"Forrest Gump",8.2,7927
55000000,10749,13,en,"Forrest Gump",138.133,1994-07-06,677945000,142,Released,"Forrest Gump",8.2,7927
15000000,18,14,en,"American Beauty",80.8786,1999-09-15,356297000,122,Released,"American Beauty",7.9,3313
12800000,18,16,en,"Dancer in the Dark",22.0222,2000-05-17,40031900,140,Released,"Dancer in the Dark",7.6,377
12800000,80,16,en,"Dancer in the Dark",22.0222,2000-05-17,40031900,140,Released,"Dancer in the Dark",7.6,377
12800000,10402,16,en,"Dancer in the Dark",22.0222,2000-05-17,40031900,140,Released,"Dancer in the Dark",7.6,377
90000000,12,18,en,"The Fifth Element",109.529,1997-05-07,263920000,126,Released,"The Fifth Element",7.3,3885
90000000,14,18,en,"The Fifth Element",109.529,1997-05-07,263920000,126,Released,"The Fifth Element",7.3,3885
90000000,28,18,en,"The Fifth Element",109.529,1997-05-07,263920000,126,Released,"The Fifth Element",7.3,3885
90000000,53,18,en,"The Fifth Element",109.529,1997-05-07,263920000,126,Released,"The Fifth Element",7.3,3885
90000000,878,18,en,"The Fifth Element",109.529,1997-05-07,263920000,126,Released,"The Fifth Element",7.3,3885
92620000,18,19,de,Metropolis,32.3515,1927-01-10,650422,153,Released,Metropolis,8,657
92620000,878,19,de,Metropolis,32.3515,1927-01-10,650422,153,Released,Metropolis,8,657
0,18,20,en,"My Life Without Me",7.95883,2003-03-07,9726950,106,Released,"My Life Without Me",7.2,77
0,10749,20,en,"My Life Without Me",7.95883,2003-03-07,9726950,106,Released,"My Life Without Me",7.2,77
140000000,12,22,en,"Pirates of the Caribbean: The Curse of the Black Pearl",271.973,2003-07-09,655011000,143,Released,"Pirates of the Caribbean: The Curse of the Black Pearl",7.5,6985
140000000,14,22,en,"Pirates of the Caribbean: The Curse of the Black Pearl",271.973,2003-07-09,655011000,143,Released,"Pirates of the Caribbean: The Curse of the Black Pearl",7.5,6985
140000000,28,22,en,"Pirates of the Caribbean: The Curse of the Black Pearl",271.973,2003-07-09,655011000,143,Released,"Pirates of the Caribbean: The Curse of the Black Pearl",7.5,6985
30000000,28,24,en,"Kill Bill: Vol. 1",79.755,2003-10-10,180949000,111,Released,"Kill Bill: Vol. 1",7.7,4949
30000000,80,24,en,"Kill Bill: Vol. 1",79.755,2003-10-10,180949000,111,Released,"Kill Bill: Vol. 1",7.7,4949
72000000,18,25,en,Jarhead,32.2272,2005-11-04,96890000,125,Released,Jarhead,6.6,765
72000000,10752,25,en,Jarhead,32.2272,2005-11-04,96890000,125,Released,Jarhead,6.6,765
31500000,18,28,en,"Apocalypse Now",49.9735,1979-08-15,89460400,153,Released,"Apocalypse Now",8,2055
31500000,10752,28,en,"Apocalypse Now",49.9735,1979-08-15,89460400,153,Released,"Apocalypse Now",8,2055
14000000,37,33,en,Unforgiven,37.3804,1992-08-07,159157000,131,Released,Unforgiven,7.7,1113
75000000,16,35,en,"The Simpsons Movie",46.8754,2007-07-25,527069000,87,Released,"The Simpsons Movie",6.9,2264
75000000,35,35,en,"The Simpsons Movie",46.8754,2007-07-25,527069000,87,Released,"The Simpsons Movie",6.9,2264
75000000,10751,35,en,"The Simpsons Movie",46.8754,2007-07-25,527069000,87,Released,"The Simpsons Movie",6.9,2264
20000000,878,38,en,"Eternal Sunshine of the Spotless Mind",56.4815,2004-03-19,72258100,108,Released,"Eternal Sunshine of the Spotless Mind",7.9,3652
20000000,18,38,en,"Eternal Sunshine of the Spotless Mind",56.4815,2004-03-19,72258100,108,Released,"Eternal Sunshine of the Spotless Mind",7.9,3652
20000000,10749,38,en,"Eternal Sunshine of the Spotless Mind",56.4815,2004-03-19,72258100,108,Released,"Eternal Sunshine of the Spotless Mind",7.9,3652
2000000,18,55,es,"Amores perros",23.2816,2000-06-16,20908500,154,Released,"Amores perros",7.6,521
2000000,53,55,es,"Amores perros",23.2816,2000-06-16,20908500,154,Released,"Amores perros",7.6,521
200000000,12,58,en,"Pirates of the Caribbean: Dead Man's Chest",145.847,2006-06-20,1065660000,151,Released,"Pirates of the Caribbean: Dead Man's Chest",7,5246
200000000,14,58,en,"Pirates of the Caribbean: Dead Man's Chest",145.847,2006-06-20,1065660000,151,Released,"Pirates of the Caribbean: Dead Man's Chest",7,5246
200000000,28,58,en,"Pirates of the Caribbean: Dead Man's Chest",145.847,2006-06-20,1065660000,151,Released,"Pirates of the Caribbean: Dead Man's Chest",7,5246
32000000,18,59,en,"A History of Violence",34.6287,2005-09-23,60740800,96,Released,"A History of Violence",6.9,832
32000000,53,59,en,"A History of Violence",34.6287,2005-09-23,60740800,96,Released,"A History of Violence",6.9,832
32000000,80,59,en,"A History of Violence",34.6287,2005-09-23,60740800,96,Released,"A History of Violence",6.9,832
